,capital_used,ending_cash,ending_value,orders,period_close,period_open,pnl,portfolio_value,positions,returns,starting_cash,starting_value,transactions
2014-10-08 15:00:00,0.0,10000000.0,0.0,[],2014-10-08 15:00:00+00:00,2014-10-08 09:31:00+00:00,0.0,10000000.0,[],0.0,10000000.0,0.0,[]
2014-10-09 15:00:00,0.0,10000000.0,0.0,[],2014-10-09 15:00:00+00:00,2014-10-09 09:31:00+00:00,0.0,10000000.0,[],0.0,10000000.0,0.0,[]
2014-10-10 15:00:00,0.0,10000000.0,0.0,[],2014-10-10 15:00:00+00:00,2014-10-10 09:31:00+00:00,0.0,10000000.0,[],0.0,10000000.0,0.0,[]
2014-10-13 15:00:00,0.0,10000000.0,0.0,[],2014-10-13 15:00:00+00:00,2014-10-13 09:31:00+00:00,0.0,10000000.0,[],0.0,10000000.0,0.0,[]
2014-10-14 15:00:00,0.0,10000000.0,0.0,[],2014-10-14 15:00:00+00:00,2014-10-14 09:31:00+00:00,0.0,10000000.0,[],0.0,10000000.0,0.0,[]
2014-10-15 15:00:00,0.0,10000000.0,0.0,[],2014-10-15 15:00:00+00:00,2014-10-15 09:31:00+00:00,0.0,10000000.0,[],0.0,10000000.0,0.0,[]
2014-10-16 15:00:00,0.0,10000000.0,0.0,[],2014-10-16 15:00:00+00:00,2014-10-16 09:31:00+00:00,0.0,10000000.0,[],0.0,10000000.0,0.0,[]
2014-10-17 15:00:00,0.0,10000000.0,0.0,[],2014-10-17 15:00:00+00:00,2014-10-17 09:31:00+00:00,0.0,10000000.0,[],0.0,10000000.0,0.0,[]
2014-10-20 15:00:00,0.0,10000000.0,0.0,[],2014-10-20 15:00:00+00:00,2014-10-20 09:31:00+00:00,0.0,10000000.0,[],0.0,10000000.0,0.0,[]
2014-10-21 15:00:00,0.0,10000000.0,0.0,[],2014-10-21 15:00:00+00:00,2014-10-21 09:31:00+00:00,0.0,10000000.0,[],0.0,10000000.0,0.0,[]
2014-10-22 15:00:00,0.0,10000000.0,0.0,[],2014-10-22 15:00:00+00:00,2014-10-22 09:31:00+00:00,0.0,10000000.0,[],0.0,10000000.0,0.0,[]
2014-10-23 15:00:00,0.0,10000000.0,0.0,[],2014-10-23 15:00:00+00:00,2014-10-23 09:31:00+00:00,0.0,10000000.0,[],0.0,10000000.0,0.0,[]
